Title,Review,Town,Region,Type,Polarity
Los perros furiosos corren libremente al personal y les gusta celebrar.,"La piscina estaba en proceso de reparación. El personal decidió reunirse en alta voz a pocos metros de nuestra habitación. Cantas muy fuertes y música a medianoche. El aparcamiento está detrás del edificio del otro lado de la calle en una zona cerrada con una puerta: no nos sentimos seguros, así que guardamos objetos de valor con nosotros. La habitación estaba limpia, personal sólo inglés. El desayuno de la mañana era útil, no notable, pero llenaba un vacío.",Loreto,Baja_CaliforniaSur,Hotel,1
Por el GERENTE GENERAL,"El santuario es un lugar en el que he soñado con casarme!! Recientemente pedí informes y la persona que me pidió un comentario sobre la super x, me dio información cobarde, muy desagradable. Dado que leí muy malas críticas sobre el servicio y la mala calidad de los alimentos, pedí de manera muy especial que tomara los banquetes del sanatorio español e intentara negociar sólo el alquiler del lugar, ofreciendo más de 100.000 por persona, lo que me fue negado, también me pidieron que me pusiera a disposición de mis inventos.",Valle_de_Bravo,Estado_de_Mexico,Hotel,1
¡El peor de los casos!!,"Es una lástima que un lugar tan hermoso sea descuidado, las habitaciones están muy cerradas, no hay televisión, no hay teléfono, no hay Internet, simplemente se encuentra un distribuidor de aromatas que emite todo el tiempo un olor horrible que pica la nariz, cuatro contactos luminosos que funcionan solamente uno, el agua de la piscina era pesada y sólo se podía combinar por el frío o el calor, el casco de la piscina estaba cerrado, la placa de la puerta de la habitación no cerraba el fuseau.",Huasca_de_Ocampo,Hidalgo,Hotel,1
Cerrado es un lugar de encuentro.,"Nos fuimos con la idea de visitarla y aunque pasamos varias veces por allí, siempre estaba cerrada y sin ningún indicador de tiempo o días de visita.",Isla_Mujeres,QuintanaRoo,Attractive,1
¡La intoxicación alimentaria!,"Poison - ¡no coman aquí! mi marido y yo tuvimos la peor intoxicación alimentaria de este lugar (teníamos un pulpo para el almuerzo, que se jactaba de ser ""rico"" . .), terminamos en la sala de emergencia de la misma noche. perdimos...1,5 días de nuestras vacaciones, y cuando volví al lugar para informar al director, la única respuesta fue que él no podía hablarnos "", porque tiene el desayuno. "" ... Muchas de las cosas. Yo recomiendo encarecidamente evitar este lugar!!¡Más!",Tulum,QuintanaRoo,Restaurant,1
Un lugar de turismo de masas muy contaminado y lleno de gente.,"Tulum es muy frecuentado por el turismo masivo. Está muy contaminado. La calidad del aire es terrible. El tráfico es constantemente pesado. Muy ruidoso y estresante. La playa es muy pequeña y ocupada principalmente por restaurantes privados. El alquiler de una silla de playa cuesta 20 dólares por persona sin paraguas.¡¡Los traficantes de drogas están en la zona de la playa e incluso en la playa!! Los cárteles locales de drogas también están activos en esta ciudad. . . . Hay que evitar, a menos que usted pasa un tiempo muy cerrado.",Tulum,QuintanaRoo,Attractive,1
El peor lugar y servicio.,Usted ha visto el lugar para tener buenas recomendaciones en esta página y esto no tiene nada que ver con los buenos comentarios que recibe. La entrada es por el hotel y se tarda mucho tiempo en impugnar el intercomunicador y abrirse.,Tlaquepaque,Jalisco,Restaurant,1
Muy caro.,"Es un lugar muy bonito, pero muy caro, 120 dólares por persona, nadie se ocupa de él, nada le explica el lugar, es bueno que usted cuesta para mantener el lugar sagrado y agradable, pero no tanto.",Cuatro_Cienegas,Coahuila,Attractive,1
"Precio de primera clase, servicio de quinta clase","¡Los servicios del hotel están en mal estado!! Los jacuzzis no sirven, el agua de la piscina helada, las habitaciones parecen haber sido mantenidas hace años! ¡El aseo está cubierto y no hay toallas cuando llegamos! Obviamente esta habitación no ha sido utilizada hace mucho tiempo. ¡El restaurante es carismático y malismo! ¡No hay nada que ofrecer, sirve frío!!! ¡Lo peor es que no hay nadie responsable en el hotel que resuelva nada! ¡Y por primera vez querían abrir la cerradura de la habitación!",Atlixco,Puebla,Hotel,1
Aquí no hay té.,"Por el precio, uno de los peores lugares donde hemos alojado, y hemos viajado por todo el mundo, por lo que podemos comparar. No teníamos que cambiar la forma en que las sábanas eran sucias, sólo 2 toallas (no blancas pero grises blancas) ... mosca en el suelo y en la cortina ... podría continuar y continuar sin parar ... la gente va y viene por la noche y el aire acondicionado sonaba como un jumbo jet. Estábamos agotados después de una noche, así que nos fuimos. Debo decir que el jardín y el jardín/zona de la hotelería.",Loreto,Baja_CaliforniaSur,Hotel,1
Delicioso pero mal servido.,La comida es realmente buena y a un precio razonable. El servicio fatal. Han servido todo excepto el plato del niño. 40 minutos de insistencia y de continuación sin servirle. mala organización. mala experiencia. Tengo que responder para terminar de hacer el amor. El lugar es hermoso. Excepto el mal servicio...Más,Bacalar,QuintanaRoo,Restaurant,1
"¡Cuidado, no hay impuestos que pagar!!!","El hotel es muy bonito, la habitación es muy agradable y confortable; pero la calidad del servicio y de la comunicación en su organización es extremadamente pesada. Pedí una prueba fiscal en el momento de mi Check In, en el momento de mi Check Out y se me dijo que me enviaría por correo electrónico.",Tulum,QuintanaRoo,Hotel,1
"La alta expectativa, la experiencia positiva.","El hotel estaba muy bien clasificado en viaje asesor, que, por supuesto, tienen un certificado de 2016. De los más cercanos a Santa Prisca, el nivel de precio es de 2600 por noche si quieres facturar es más IVA y no te digas hasta que usted pide, a mi llegada, sorpresa !, que era efectivamente Antigua, pero muy antigua, nos tocó la ""mejor habitación del hotel,"" en la entrada la televisión desconectada y sin intención de conectarla porque aunque lo habíamos advertido, nunca fueron, en la recepción, las cosas anteriores, la habitación en el salón.",Taxco,Guerrero,Hotel,1
"El cudiado es un fraude, los niños son facturados como adultos y no están autorizados a utilizar las instalaciones.","Cuidado, es un robo. Se factura a los niños como adultos y ya dentro del cénote, no se les permite utilizar las instalaciones ni el cénote. Cuidado, sin recibo ni boleto, es un fraude fiscal y un lavado de dinero. Son denunciados en profeco y SAT. La atención es muy mala, y el cuidado no respeta el espacio de salud.",Valladolid,Yucatan,Attractive,1
"La peor experiencia, alojarse en un hotel de Rio Tequiquiapan. para nunca volver.","Ayer, viernes 12 de julio de 2019, nos alojamos en esta habitación del hotel número 3, donde no pudimos descansar, porque desde las 7 de la mañana, gracias al ruido del hotel y a su personal de servicio, que, en las escaleras que indicaban al lado de nuestra habitación y desde el principio, no hacían ningún esfuerzo para desviarse y quejarse en voz alta.",Tequisquiapan,Queretaro,Hotel,1
Evitar es un evento.,"Parece que este lugar ha sido increíble, tal vez también recientemente como hace algunos años.Ahora es ridículo caro, demasiado desarrollado e inustenible.En términos de coste, es a la altura de Londres, lo que es claramente ridículo.Las tarifas de taxi para ir de un extremo a otro de la playa (10 minutos) cuestan 20 USD!La comida en los restaurantes ha sido excelente pero inexplicablemente caro.Los clubes de playa están bastante vacíos pero siempre tratan de cobrar 100 USD por tonelada.",Tulum,QuintanaRoo,Attractive,1
¡Estás sosteniendo a los animales en condiciones terribles!,"Los animales que ocupan el agua limpia tienen un color verde asqueroso e incluso, lleno de residuos, los cerdos vietnamitas los separan de sus bebés y toda la noche, la empujan golpeando las puertas de las cuevas, las piscinas, los jaguares y los tigres no tienen un lugar especial donde el agua se recoge sus estanques son muy pequeños, no tienen las dimensiones para ser utilizados como nadadores, los ostras sin plumas tienen estrés, es uno de los peores caminos que he hecho, sólo para ir a ver animales mal tratados y que",Orizaba,Veracruz,Attractive,1
Eso es muy malo.,"Nos reunimos con dos parejas para cenar, con un buen apetito, tenían seis mesas disponibles y no querían recibirnos, que esperaban a otro grupo grande, si tenían mesas, pero la cocina no era suficiente, y nos trataron ""mal"" ni siquiera volvería si me daban la comida....Más",Palenque,Chiapas,Restaurant,1
Corrupción,"Fue un lugar repugnante. El nivel de moralidad en este país es como cualquier otro que he conocido. Ustedes no son tomados como una ventaja de todos los días, sino de cada hora. Restaurantes, hoteles, taxis y policía. Sí, la policía me extorsionó 600 dólares en una parada de rutina. Tomé mi pasaporte y no lo devolví. Me siguieron hasta una caja automática en pleno día. La aceptación y la tolerancia que permiten este comportamiento son como ningún otro país que he visitado. Es un paisaje repugnante.",Tulum,QuintanaRoo,Attractive,1
Muy mal servicio.,¡Este es un mal servicio para la gente aquí!!! Nadie maneja a la gente cuando tiene una fuerte demanda; la señora de la entrada de la mejor nos dijo que busquemos otra opción porque tardaría mucho tiempo.,Parras,Coahuila,Restaurant,1
Vacaciones en el infierno,"Permítanme empezar diciendo que por lo general no escribo comentarios, pero me siento obligado a escribir una crítica para que más viajeros no puedan soportar la pesadilla de un viaje que he tenido y que debería reservar en otro lugar.",Tulum,QuintanaRoo,Hotel,1
No hay nada malo en eso.,"Precios razonables pero hay que llegar temprano, pregúntame por qué puedes pasar como yo, incluso si pedí mi plato ""birria"" primero si había un plato y luego no... y tuve que adaptarme a la carne en su yugo...",Tequila,Jalisco,Restaurant,1
"Una mala comida, un mal servicio.","Viví en Mazunte durante dos años y corrí a Estrella fugaz tres veces con amigos. Las tres veces los empleados nos ignoraron, tomó una eternidad para traer bebidas y comida. No existían cuando queríamos pedir más bebidas o comida y no... sonreír o agradecer cuando nos fuimos.",Mazunte,Oaxaca,Restaurant,1
"Se puede decir que es demasiado caro y caro, pero no hay elección vegana.",Ninguna opción vegana... ni las verduras son adecuadas... ¿por qué todo debe ser puesto en mantequilla? El pan... incluso el pan de sal... todo tiene huevo o leche o ambas... terminamos comiendo tortillas con fritas (sopas) o fritas con tortillas y salsas (chilaquiles) ....... sin bromas... sin gusto.,Tepoztlan,Morelos,Restaurant,1
"Elegir otro lugar, la tarifa completa, no vale la pena.","El hotel estaba en construcción. Tijeras y martillos estaban en construcción todo el día, no había espacio al aire libre en el complejo para escapar del ruido. Los trabajadores trabajaban las 24 horas del día en toneladas de escombros de construcción por todas partes. Los pastos eran cortados o desplazados pero las villas. Sólo 1 de los 3 restaurantes abiertos. No había agua caliente durante nuestra estancia de 8 días. Esto podría ser suficiente dentro de un año o más, pero si usted está buscando reservar o reservar, no o cancelar. Las noches no son.",Isla_Mujeres,QuintanaRoo,Hotel,1
¡Qué experiencia diferente esta vez en comparación con el año pasado!,"Nos alojamos en su complejo hace un año (véase mi crítica del 10 de febrero de 2014) y no dudaría en volver. Esta vez, el hermoso entorno no podía compensar la experiencia negativa que teníamos con la dirección del hotel. Teníamos la misma fecha que habíamos reservado a través de dos agencias de reserva en línea y olvidé la primera que habíamos hecho meses antes. Sí, fue un error por nuestra parte"" pero creemos que la dirección del hotel podría haber demostrado cierta flexibilidad trabajando con nosotros.",Palenque,Chiapas,Hotel,1
No me gustó.,"Nuestro grupo no tuvo la experiencia de pasar un buen rato en Lola's. Dos de las nueve personas tenían buenas comidas. Escuchó que el desayuno era bueno, así que esta es la razón por la que nos fuimos. muchos mejores lugares, me pareció que... la comida era muy cara.",Isla_Mujeres,QuintanaRoo,Restaurant,1
El peor servicio.,"El peor servicio desde la reserva, en lugar de hacerte sentir bienvenido, estás amenazado: sin Internet, sin televisión, sin cobertura garantizada de estacionamiento, la piscina está a temperatura ambiente, los alimentos están a la carta, 50% se paga para reservar y 50% 26 días antes del alojamiento (primer hotel de mi vida en hacerlo, nacional e internacional).",Huasca_de_Ocampo,Hidalgo,Hotel,1
Increíble.,"Ayer hice una reserva para la comida de hoy, a través de su sitio web. Me sorprendió mucho llegar hoy al establecimiento y descubrir lo que ha estado cerrado por reformas desde hace unos días.",Tequila,Jalisco,Restaurant,1
El peor servicio que he tenido.,"El lugar es rico, pero el servicio era terrible. No nos engañaron, tuvimos que repetir el pedido varias veces porque no lo hicimos. Finalmente tuvimos que repetir uno por uno lo que habíamos pedido. Y también se pusieron furiosos con nosotros... más",Bacalar,QuintanaRoo,Restaurant,1
"Mis hermanos son malos, groseros y mal educados.","El jefe del puesto que desafortunadamente nos esperaba ha sido muy grosero, lento y mal entrenado, tratando de denunciarlo al ""manager,"" otros empleados me dicen que: ahora no se encuentra, es decir, que los empleados hacen lo que quieren, en...",Patzcuaro,Michoacan,Restaurant,1
Decepcionado.,"Cuando llegamos a lo que se nos dijo que era un experimento, nadie nos dijo que no podíamos llevar una botella de agua y que el goon de seguridad había comenzado a moverse en un lugar ideal a través de la bolsa de mi hermana sin ninguna razón aparente.",Tulum,QuintanaRoo,Attractive,1
Un lugar mágico abandonado.,"El hotel se encuentra en un lugar mágico y se puede admitir que hace mucho tiempo, era un lugar increíble, pero por desgracia no se ha mantenido desde hace mucho tiempo y hace que la visita sea decepcionante.",Huasca_de_Ocampo,Hidalgo,Hotel,1
Nuestras cosas fueron robadas de la habitación.,"Desafortunadamente, robaron nuestra habitación, hicimos un informe, el director era increíblemente apático, grosero y obviamente incapaz de resolver el problema, el triste es que no éramos los únicos, el mismo día robaron al menos 4 habitaciones, luego pidieron a la policía local que nos hiciera una investigación, nos dijeron que esto pasaba muy a menudo en este hotel, se marcharán a su propio riesgo.",Taxco,Guerrero,Hotel,1
El Hotel Pésimo es un hotel de lujo.,"Nunca volveré , es sucio , descuidado , poco personal , toallas y asco . El spa con una atención desagradable las camas de masaje se han roto y los masajes no tienen idea de dar un masaje . La zona de la piscina aterradora es sucia , y no hay personal para darle toallas o algo para beber . Es realmente uno de los peores hoteles donde he estado . La habitación horrible vieja huele a humedad húmeda el jacuzzi de la terraza del asco y la terraza esposo .",Tepoztlan,Morelos,Hotel,1
Lo peor de los restaurantes,"Lo valoramos como el peor restaurante de la ciudad. Pedimos queso relleno: una modalidad que cuando vimos el plato, exclamamos ""no es eso."" La respuesta fue ""estilo Valladolid."" Un caldo con garbanzo (duros) un pedazo de queso (duros) y sin sabor.",Valladolid,Yucatan,Restaurant,1
El peor servicio telefónico.,"Hablamos por teléfono, para ver si estaban disponibles, la persona que responde a la llamada no quiere darle informes, lo pregunto cuando hay disponibilidad y él responde que usted lo ve en la página, le pregunto su número y nada. Creo que vamos a pagar un servicio, que no, estoy pidiendo un regalo, muy desagradable por parte de la persona que está en la cara del hotel, si es por teléfono, no quiero saber cómo está en persona.",Valladolid,Yucatan,Hotel,1
"Querida y preciosa, aún estás aquí.",El servicio era demasiado lento. Las chicas que se ocupaban de la casa ni siquiera sabían lo que tenían en el mapa. Los tacos de pescado horribles. Eran engañados por peces que no me di cuenta. Las tortillas de harina de trigo eran chicloses. La legumbres era un poco marchada. Sería mejor...Más,Loreto,Baja_CaliforniaSur,Restaurant,1
¡El peso es corto!,"Vi este restaurante en un video de youtube donde había muy buenas críticas y era una gran decepción. Uno de los peores lugares de restauración donde he estado. Primero, tomó casi 40 minutos para darnos una mesa, se preguntarán por qué estábamos esperando? Fue debido a las críticas ""buenas"" y la escasez de plazas abiertas.Se dio cuenta de que era el propietario con una actitud horrible y ocupando una mesa cuando teníamos 5 familias esperando para la gira.",Zacatlan,Puebla,Restaurant,1
"Nunca entres en este lugar, el servicio no es para más y el lugar es muy pequeño, no hay excusa para no ser atendido.","Es triste ver que el lugar es muy hermoso y acogedor pero que los servicios son demasiado deficientes, no puedo creer que tuvimos que esperar una mesa porque estaba vacía, y nos dieron la mesa de al lado (que estaba vacía desde el principio),...No nos dieron Lemus hasta 20 minutos más tarde, tomó otra hora para que la comida llegara, pedimos tortillas y tomó otros 20 minutos para que me parara y los preguntara directamente en la cocina, pedir la cuenta era otra pérdida de tiempo y no se ataron.",TodosSantos,Baja_CaliforniaSur,Restaurant,1
La atención a su atención.,"De hecho, como algunos dicen, es un lugar hermoso, por desgracia la atención recibida fue terrible y, por no hablar de los precios facturados como hotel de gran turismo y sigue siendo demasiado corto, en las habitaciones no hay toallas para secar, nadie le pregunta si usted necesita algo y por desgracia usted necesita todo.",Tequisquiapan,Queretaro,Hotel,1
"Un servicio mediocre, una playa hermosa.","El lugar es perfecto y hermoso, pero el servicio es terrible, y la calidad de los platos es horrible, los precios son muy altos, la calidad del precio del lugar deja mucho que desear, más.",Tulum,QuintanaRoo,Restaurant,1
El peor trato.,"Somos personas mayores, he estado con mi esposa para descubrir el lugar y tomar la decisión de quedarse o comer allí, a pesar de que íbamos juntos y nos agarramos a la mano, presentables (con ropa formal), la seguridad nos ha maltratado desde la entrada,...Más",Bacalar,QuintanaRoo,Restaurant,1
Estoy decepcionado.,"Fui a Isla Mujeres, por razones de trabajo y también para disfrutar de la pausa. La habitación que nos dieron era bastante grande, pero el baño estaba sucio (tenía el pelo en la bañera y para el perdón) Parece que sólo la cinta ""limpia"" fue colocada en la taza y el papel del baño, porque era sucio. No podía reclamar un cambio de habitación porque a nuestra llegada a la recepción, se nos dijo que el hotel estaba lleno... Lo supuse... Tomamos la televisión y la señal era muy pobre, los canales eran ten.",Isla_Mujeres,QuintanaRoo,Hotel,1
Adelante.,"La peor comida desde... no recuerdo. Empezamos a dudar cuando nuestros platos llegaron en menos de 3 minutos después de haber pedido...el microondas, creo, es único que funciona .... la carne .....la frescura de los alimentos ... muy dudoso y los precios .....para esta calidad es ...Más",Bernal,Queretaro,Restaurant,1
No hay precio que pagar por la cuota.,"He estado en mejores lugares a este precio! Las instalaciones de la piscina y del restaurante son magníficas y ofrecen una vista imbuida. La comida del restaurante es muy buena! y el servicio de algunos clientes también es excelente... Sin duda, hay una serie de cosas que no justifican realmente el precio de este hotel: Las habitaciones: ni el costo de la habitación: son viejos y no tienen un solo detalle que le hace sentir que usted ha llegado a un hotel de lujo y descanso.",Tepoztlan,Morelos,Hotel,1
Había comida sucia y sucia.,"Nos alojamos en la casa de los sueños en diciembre de 2015. hay un pastel en el edificio, se puede ver el cabello de los gatos por todas partes, incluso en todos los muebles exteriores y el mueble de la sala - no me gustó esto. Espero que no sea alérgico! además, la habitación no estaba bien. la comida era terrible. no hemos pedido la quesadilla o un desayuno especial. además, está tan lejos de todo, usted tendrá que tomar un coche de golf o tomar un taxi por todas partes. Internet Wi-Fi no funciona bien en la habitación.",Isla_Mujeres,QuintanaRoo,Hotel,1
